"person","age","networthb","time","industry"
"Bill Gates",59,79.2,2015,"Microsoft"
"Carlos Slim Helu",75,77.1,2015,"telecom"
"Bill Gates",58,76,2014,"Microsoft"
"Warren Buffett",84,72.7,2015,"Berkshire Hathaway"
"Carlos Slim Helu & family",74,72,2014,"telecom"
"Amancio Ortega",78,64.5,2015,"Zara"
"Amancio Ortega",77,64,2014,"retail"
"Warren Buffett",83,58.2,2014,"Berkshire Hathaway"
"Larry Ellison",70,54.3,2015,"Oracle"
"Larry Ellison",69,48,2014,"Oracle"
"Charles Koch",79,42.9,2015,"diversified"
"David Koch",74,42.9,2015,"diversified"
"Christy Walton",60,41.7,2015,"Wal-Mart"
"Jim Walton",67,40.6,2015,"Wal-Mart"
"Liliane Bettencourt",92,40.1,2015,"L'Oreal"
"Charles Koch",78,40,2014,"diversified"
"David Koch",73,40,2014,"diversified"
"Alice Walton",65,39.4,2015,"Wal-Mart"
"S. Robson Walton",71,39.1,2015,"Wal-Mart"
"Sheldon Adelson",80,38,2014,"casinos"
"Bernard Arnault",66,37.2,2015,"LVMH"
"Christy Walton & family",59,36.7,2014,"Wal-Mart"
"Michael Bloomberg",73,35.5,2015,"Bloomberg LP"
"Jeff Bezos",51,34.8,2015,"Amazon.com"
"Jim Walton",66,34.7,2014,"Wal-Mart"
"Liliane Bettencourt & family",91,34.5,2014,"L'Oreal"
"Stefan Persson",66,34.4,2014,"H&M"
"Alice Walton",64,34.3,2014,"Wal-Mart"
"S. Robson Walton",70,34.2,2014,"Wal-Mart"
"Bernard Arnault & family",65,33.5,2014,"LVMH"
"Mark Zuckerberg",30,33.4,2015,"Facebook"
"Li Ka-shing",86,33.3,2015,"diversified"
"Michael Bloomberg",72,33,2014,"Bloomberg LP"
"Larry Page",40,32.3,2014,"Google"
"Jeff Bezos",50,32,2014,"Amazon.com"
"Sergey Brin",40,31.8,2014,"Google"
"Sheldon Adelson",81,31.4,2015,"casinos"
"Li Ka-shing",85,31,2014,"diversified"
"Larry Page",41,29.7,2015,"Google"
"Sergey Brin",41,29.2,2015,"Google"
"Mark Zuckerberg",29,28.5,2014,"Facebook"
"Georg Schaeffler",50,26.9,2015,"ball bearings"
"John Mars",78,26.6,2015,"candy"
"Jacqueline Mars",75,26.6,2015,"candy"
"Forrest Mars, Jr.",83,26.6,2015,"candy"
"Michele Ferrero & family",88,26.5,2014,"chocolates"
"David Thomson",57,25.5,2015,"media"
"Jorge Paulo Lemann",75,25,2015,"beer"
"Aliko Dangote",56,25,2014,"cement, sugar, flour"
"Karl Albrecht",94,25,2014,"retail"
"Lee Shau Kee",87,24.8,2015,"real estate"
"Stefan Persson",67,24.5,2015,"H&M"
"Carl Icahn",78,24.5,2014,"investments"
"George Soros",84,24.2,2015,"hedge funds"
"Wang Jianlin",60,24.2,2015,"real estate"
"Carl Icahn",79,23.5,2015,"investments"
